Total 'indemnity' by 'year' and 'fips',,,
,,,
,year,fips,Sum of indemnity
,2015,20193,177264.6
,2015,20195,80657.4
,2015,20199,26128.6
,2015,20201,27190.6
,2015,20203,45678.07
,2015,31001,4186.9
,2015,31003,72286.5
,2015,31011,182070
,2015,31013,24687.3
,2015,31019,4559
,2015,31027,42118
,2015,31029,22937
,2015,31033,26787.13
,2015,31035,9972
,2015,31039,15817.05
,2015,31043,52946.85
,2015,31045,17452.95
,2015,31047,3397
,2015,31051,4693.2
,2015,31057,53282.42
,2015,31059,54740
,2015,31061,29811
,2015,31063,39634.5
,2015,31065,2146
,2015,31067,13464.4
,2015,31073,7297
,2015,31077,33417
,2015,31079,50305
,2015,31081,151160.75
,2015,31083,24455
,2015,31085,9851.4
,2015,31087,56462.1
,2015,31089,4549
,2015,31093,18215.5
,2015,31095,5967.9
,2015,31097,25885
,2015,31099,11977.5
,2015,31101,19772
,2015,31105,560
,2015,31107,112460
,2015,31109,16294.6
,2015,31111,9209.1
,2015,31121,55835
,2015,31123,655.4
,2015,31125,6950
,2015,31127,2425.4
,2015,31129,76686
,2015,31135,405.2
,2015,31139,13880
,2015,31141,34158.8
,2015,31143,24672
,2015,31145,7004
,2015,31147,971
,2015,31151,292196.6
,2015,31153,8260
,2015,31155,23222
,2015,31157,37269
,2015,31159,896747.2
,2015,31161,43236
,2015,31163,25573.4
,2015,31165,10267
,2015,31167,1871
,2015,31169,32918.2
,2015,31179,7619
,2015,31181,13255
,2015,31183,12859
,2015,31185,1236
,2016,20003,20.94
,2016,20005,1517
,2016,20007,2550.8
,2016,20009,11073.25
,2016,20013,55418
,2016,20015,4693.5
,2016,20017,7604
,2016,20023,9346
,2016,20027,32390
,2016,20033,19175.4
,2016,20035,7996.36
,2016,20039,27584.7
,2016,20041,42598.5
,2016,20047,20955.26
,2016,20051,18387
,2016,20053,24211.1
,2016,20055,202510.08
,2016,20057,44548.65
,2016,20059,1377.5
,2016,20061,3263
,2016,20063,64984
,2016,20065,654.93
,2016,20067,73444.06
,2016,20069,170291.6
,2016,20071,348810
,2016,20075,279009.05
,2016,20077,3023
,2016,20079,9774.1
,2016,20081,92874.6
,2016,20083,123764
,2016,20085,1763
,2016,20089,18336.5
,2016,20093,151046.55
,2016,20095,11310.6
,2016,20097,23966
,2016,20099,520
,2016,20101,7042.82
,2016,20105,21564
,2016,20109,13408.86
,2016,20113,37805.06
,2016,20117,21153.94
,2016,20119,78778.75
,2016,20123,33725.67
,2016,20125,886.86
,2016,20129,264907.15
,2016,20131,6536.64
,2016,20135,3229
,2016,20137,3102
,2016,20141,26416.5
,2016,20143,28501.4
,2016,20145,73913.8
,2016,20147,23058.6
,2016,20149,7755
,2016,20151,30854
,2016,20153,38623
,2016,20155,30617.96
,2016,20157,35368.6
,2016,20159,27147.7
,2016,20161,340
,2016,20163,5522.5
,2016,20165,2816.7
,2016,20167,4914.5
,2016,20169,46382.6
,2016,20171,5559
,2016,20173,20581.8
,2016,20175,99364.5
,2016,20179,38538.3
,2016,20181,5556.45
,2016,20183,32999.5
,2016,20185,72881.5
