Sum of Indemnity Amount,,,,,,,,,,,,
FIPS,1,2,3,4,5,6,7,8,9,10,11,12
31013,1349,100562.86,4107.7,27687.3,656370.58,513141.93,1723061.44,4606966.84,1136044.85,221672,47700.5,5403
31015,,,151988.5,102171.5,1550330,735988,53340.8,191951.3,36937.5,6184,45386.76,11310.4
31017,,,8193,120996,1237117,619732.1,88737.9,21291,,,10019,114217
31019,3358,,195653.5,60628.25,683959.75,500609.5,315722.5,555701.5,112361,126466.5,63049,8998
31021,,,2329547.08,215454.08,1900034.66,765065.71,126942.74,6323.29,35752,19688,157595.44,8942
31023,,,268298.9,160302.4,1134223.55,697981.06,117149.54,41610,33735,17142,23943.55,24530
31025,,,430143,194179.25,174039.3,192225.05,3041.4,6862,5290,14488,373,32620
31027,,,49491,205004,605554.1,122739,100810.4,36345.5,44040,1473,,4847
31029,,,7029,160014,1032043.46,1046066.56,331438.4,3539264.48,2311665.16,7553,41558.94,868
31031,,212.85,,228318,368278,68478,105771,114222.15,84650,,,
31033,72625.16,19292.56,69847.18,201910.75,1048083.05,522989.4,1335912.03,269100.56,50672.55,308769,76364.76,3311
31035,,6989,57248.75,10631.05,362947.9,191003,168055.2,1605400.5,90404,105488.6,32068.5,3928.5
31037,,,78299.13,107949.08,1262954.3,465917.75,44645,,,4514,52939.79,14022
31039,,,223636.13,93450.48,417457.42,110878.91,146009.3,85460.5,46015.98,4871,262439.28,5045
31041,,6632,21658,266150.5,735926.25,374270.5,1217373.39,356411.5,189186.5,31813,24050.36,18086
31043,,,16754.5,8377.25,657175.75,39463,254639.5,,33156,4671,78236,
31045,13746,1596.6,44959.64,402093,28882.19,235755.33,108423.82,128273.62,47806,83049.8,,19
31047,,,93125.5,133859.57,3168309.25,748987.35,381888.3,404146,220037,101052.6,3730.43,29269
31049,30434.4,17830.38,14759,3411,440972.7,174228.2,374528.2,251623.02,8342.2,,3741.9,
31051,,,39014,41480,161493,32695,39853,55524,,18700,710,
31053,,,496315.44,342324.4,2121938.45,849423.97,124907.66,29689,3836,21738,42721.08,16480
