FIPS,Sum of Indemnity Amount
19155,8069003.56
19157,3093201
19159,2322041
19161,716239
19163,3378034
19165,370394
19167,3745810
19169,1354403
19171,4206802
19173,3652589
19175,2762469
19177,2888725
19179,2983421
19181,1470718
19183,3549343
19185,3820501
19187,2486878
19189,1500082
19191,3055109
19193,3818666
19195,2295874
19197,1875600
20001,2276984
20003,3166382.75
20005,1709505
20007,916981
20009,3278329.85
20011,1596366
20013,1855181
20015,3003453
20017,1225192
20019,253735
20021,2672025
20023,927959
20025,401866
20027,2971727.5
20029,1394028.94
20031,2970408
20033,481973.2
20035,3659697.2
20037,3901987
20039,1868018.6
20041,2558289.5
20043,4929030
20045,824178
20047,1904757
20049,412509
20051,841863.16
20053,1626888.4
20055,1620142
20057,2645946.5
20059,1780639.2
20061,344660
20063,1898876.92
20065,3176421.9
20067,2393636
20069,8403895.25
20071,1542663
20073,881096
20075,727044
20077,3585887.9
20079,4545343.4
20081,1870912.9
20083,682037.1
20085,956462
20087,1630558.7
20089,4961754.4
20091,443868
20093,972679
20095,2868690.03
20097,789397
20099,3577541
20101,1056469
20103,2144817
20105,1040293.9
20107,3056966
20109,2385049
20111,2618427
20113,4840509.5
20115,3132412
20117,4550432.2
20119,781165
20121,2220839
20123,1208524.4
20125,3634935.35
20127,509236
20129,1653078
20131,1280729
20133,2727314
20135,1390442.85
20137,1326431
20139,2096230
20141,1539056
20143,1521968.12
20145,3499464.05
20147,257185
20149,791980
20151,4701770.9
20153,3330832
20155,9172522.91
20157,2000812.25
20159,6977176.9
20161,902464.5
20163,1313151
20165,1371888.9
20167,999934.75
20169,3169270.21
20171,1058954.37
20173,4865019.13
20175,1116263
20177,778217
20179,5044685.5
20181,1567884.8
20183,606507
20185,4053928.75
20187,6089263
20189,3157618
20191,12189903.67
20193,3547893
20195,1707576.19
20197,422721
20199,4459205
20201,3335215.89
20203,674823
20205,2571255.8
20207,1201340
20209,959710
21001,549361
21003,2241132
21005,147986
21007,2804539
21009,10271681.5
21011,183079
21015,168881
21017,586346
21019,9126
21021,954328
21023,104776
21025,68199
21027,4480014
21029,440176
21031,854334
21033,448818
21035,1650717
21039,1993973
21041,568744
21043,41296
21045,488881
21047,3875780
21049,136809
21051,46186
21053,155971
21055,1768082
21057,25856
21059,2056562.7
21061,843453
21063,379
21065,23971
21067,199644
21069,424046
21073,198696
21075,4507881
21077,367424
21079,627594
21081,120487
21083,3032436
21085,2232698
21087,4105975
21089,208250
21091,549584
21093,3923784
21097,720724
21099,1874793
21101,3429613
21103,1295759
21105,2330834
21107,711946
21109,6269
21111,239262
21113,83506
21117,74931
21123,1876464
21125,42336
21127,10421
21135,274913
21137,942055
21139,1882553
21141,1837329.75
21143,129213
21145,1532365
21149,1444368
21151,177503
21155,1856800
21157,450210
21161,1703070
21163,1539346
21165,7597
21167,482879
21169,2155965
21171,5400475
21173,197432
21175,82857
21177,1476841
21179,1996505
21181,326976
